num;question;a;b;c;d;solution;area_code;area;thema;image;Tags
11;Wie wird die Verfassung der Bundesrepublik Deutschland genannt?;Grundgesetz;Bundesverfassung;Gesetzbuch;Verfassungsvertrag;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
12;Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?;Ja, wenn mehr als die Hälfte der Abgeordneten im Bundestag dafür sind.;Ja, aber dazu müssen zwei Drittel der Abgeordneten im Bundestag dafür sein.;Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.;Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.;c;politik;Politik in der Demokratie;Grundrechte;-;
13;Im Parlament steht der Begriff „Opposition“ für...;die regierenden Parteien.;alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.;die Fraktion mit den meisten Abgeordneten.;alle Parteien, die bei der letzten Wahl die 5%-Hürde erreichen konnten.;b;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
14;Meinungsfreiheit in Deutschland heißt, dass ich ...;auf Flugblättern falsche Tatsachen behaupten darf.;meine Meinung in Leserbriefen äußern kann.;Nazi-Symbole tragen darf.;Meine Meinung sagen darf, solange ich der Regierung nicht widerspreche.;b;politik;Politik in der Demokratie;Grundrechte;-;
15;Was verbietet das deutsche Grundgesetz?;Militärdienst;Zwangsarbeit;freie Berufswahl;Arbeit im Ausland;b;politik;Politik in der Demokratie;Grundrechte;-;
16;Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?;bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen;bei Meinungsäußerungen über die Bundesregierung;bei Diskussionen über Religionen;bei Kritik am Staat;a;politik;Politik in der Demokratie;Grundrechte;-;
17;Die deutschen Gesetze verbieten ...;Meinungsfreiheit der Einwohner und Einwohnerinnen.;Petitionen der Bürger und Bürgerinnen.;Versammlungsfreiheit der Einwohner und Einwohnerinnen.;Ungleichbehandlung der Bürger und Bürgerinnen durch den Staat.;d;politik;Politik in der Demokratie;Grundrechte;-;difficult
18;Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?;die Unantastbarkeit der Menschenwürde;das Recht auf Leben;Religionsfreiheit;Meinungsfreiheit;a;politik;Politik in der Demokratie;Grundrechte;-;
19;Was versteht man unter dem Recht der „Freizügigkeit“ in Deutschland?;Man darf sich seinen Wohnort selbst aussuchen.;Man kann seinen Beruf wechseln.;Man darf sich für eine andere Religion entscheiden.;Man darf sich in der Öffentlichkeit nur leicht bekleidet bewegen.;a;politik;Politik in der Demokratie;Grundrechte;-;
20;Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann ...;tolerant.;rechtsstaatlich orientiert.;gesetzestreu.;verfassungswidrig.;d;politik;Politik in der Demokratie;Verfassungsorgane;-;
21;Welches ist das Wappen der Bundesrepublik Deutschland?;1;2;3;4;a;politik;Politik in der Demokratie;Staatssymbole;frage_21;image
22;Was für eine Staatsform hat Deutschland?;Monarchie;Diktatur;Republik;Fürstentum;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
23;In Deutschland sind die meisten Erwerbstätigen...;bei einer Firma oder Behörde beschäftigt.;in kleinen Familienunternehmen beschäftigt.;ehrenamtlich für ein Bundesland tätig.;selbständig mit einer eigenen Firma tätig.;a;politik;Politik in der Demokratie;Sozialsystem;-;
24;Wie viele Bundesländer hat die Bundesrepublik Deutschland?;14;15;16;17;c;politik;Politik in der Demokratie;Föderalismus;-;
25;Was ist kein Bundesland der Bundesrepublik Deutschland?;Nordrhein-Westfalen;Elsass-Lothringen;Mecklenburg-Vorpommern;Sachsen-Anhalt;b;politik;Politik in der Demokratie;Föderalismus;-;
26;Deutschland ist ...;eine kommunistische Republik.;ein demokratischer und sozialer Bundesstaat.;eine kapitalistische und soziale Monarchie.;ein sozialer und sozialistischer Bundesstaat.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
27;Deutschland ist ...;ein sozialistischer Staat.;ein Bundesstaat.;eine Diktatur.;eine Monarchie.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
28;Wer wählt in Deutschland die Abgeordneten zum Bundestag?;das Militär;die Wirtschaft;das wahlberechtigte Volk;die Verwaltung;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
29;Welches Tier ist das Wappentier der Bundesrepublik Deutschland?;Löwe;Adler;Bär;Pferd;b;politik;Politik in der Demokratie;Staatssymbole;-;
30;Was ist kein Merkmal unserer Demokratie?;regelmäßige Wahlen;Pressezensur;Meinungsfreiheit;verschiedene Parteien;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
31;Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland ...;Einheit.;Koalition.;Ministerium.;Fraktion.;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
32;Was ist keine staatliche Gewalt in Deutschland?;Gesetzgebung;Regierung;Presse;Rechtsprechung;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
33;Welche Aussage ist richtig? In Deutschland ...;sind Staat und Religionsgemeinschaften voneinander getrennt.;bilden die Religionsgemeinschaften den Staat.;ist der Staat abhängig von den Religionsgemeinschaften.;bilden Staat und Religionsgemeinschaften eine Einheit.;a;gesellschaft;Mensch und Gesellschaft;Religiöse Vielfalt;-;
34;Was ist Deutschland nicht?;eine Demokratie;ein Rechtsstaat;eine Monarchie;ein Sozialstaat;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
35;Womit finanziert der deutsche Staat die Sozialversicherung?;Kirchensteuern;Sozialabgaben;Spendengeldern;Vereinsbeiträgen;b;politik;Politik in der Demokratie;Sozialsystem;-;
36;Welche Maßnahme schafft in Deutschland soziale Sicherheit?;die Krankenversicherung;die Autoversicherung;die Gebäudeversicherung;die Haftpflichtversicherung;a;politik;Politik in der Demokratie;Sozialsystem;-;
37;Wie werden die Regierungschefs / Regierungschefinnen der meisten Bundesländer in Deutschland genannt?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Senator / Senatorin;Ministerpräsident / Ministerpräsidentin;d;politik;Politik in der Demokratie;Föderalismus;-;
38;Die Bundesrepublik Deutschland ist ein demokratischer und sozialer ...;Staatenverbund.;Bundesstaat.;Staatenbund.;Zentralstaat.;b;politik;Politik in der Demokratie;Föderalismus;-;
39;Was hat jedes deutsche Bundesland?;einen eigenen Außenminister / eine eigene Außenministerin;eine eigene Währung;eine eigene Armee;eine eigene Regierung;d;politik;Politik in der Demokratie;Föderalismus;-;
40;Mit welchen Worten beginnt die deutsche Nationalhymne?;Völker, hört die Signale …;Einigkeit und Recht und Freiheit …;Freude schöner Götterfunken …;Deutschland einig Vaterland …;b;politik;Politik in der Demokratie;Staatssymbole;-;
41;Warum gibt es in einer Demokratie mehr als eine Partei?;weil dadurch die unterschiedlichen Meinungen der Bürger und Bürgerinnen vertreten werden;damit Bestechung in der Politik begrenzt wird;um politische Demonstrationen zu verhindern;um wirtschaftlichen Wettbewerb anzuregen;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
42;Wer beschließt in Deutschland ein neues Gesetz?;die Regierung;das Parlament;die Gerichte;die Polizei;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
43;Wann kann in Deutschland eine Partei verboten werden?;wenn ihr Wahlkampf zu teuer ist;wenn sie gegen die Verfassung kämpft;wenn sie Kritik am Staatsoberhaupt äußert;wenn ihr Programm eine neue Richtung vorschlägt;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
44;Wen kann man als Bürger / Bürgerin in Deutschland nicht direkt wählen?;Abgeordnete des EU-Parlaments;den Bundespräsidenten / die Bundespräsidentin;Landtagsabgeordnete;Bundestagsabgeordnete;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
45;Zu welcher Versicherung gehört die Pflegeversicherung?;Sozialversicherung;Unfallversicherung;Hausratversicherung;Haftpflicht- und Feuerversicherung;a;politik;Politik in der Demokratie;Sozialsystem;-;
46;Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?;Er baut Straßen und Schulen.;Er verkauft Lebensmittel und Kleidung.;Er versorgt alle Einwohner und Einwohnerinnen kostenlos mit Zeitungen.;Er produziert Autos und Busse.;a;politik;Politik in der Demokratie;Aufgaben des Staates;-;
47;Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?;Er bezahlt für alle Staatsangehörigen Urlaubsreisen.;Er zahlt Kindergeld.;Er unterstützt Museen.;Er fördert Sportler und Sportlerinnen.;a;politik;Politik in der Demokratie;Aufgaben des Staates;-;
48;Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?;der Bundesrat;der Bundespräsident / die Bundespräsidentin;die Bürgerversammlung;die Regierung;c;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
49;Wer bestimmt in Deutschland die Schulpolitik?;die Lehrer und Lehrerinnen;die Bundesländer;das Familienministerium;die Universitäten;b;politik;Politik in der Demokratie;Föderalismus;-;
50;Die Wirtschaftsform in Deutschland nennt man ...;freie Zentralwirtschaft.;soziale Marktwirtschaft.;gelenkte Zentralwirtschaft.;Planwirtschaft.;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
51;Zu einem demokratischen Rechtsstaat gehört es nicht, dass ...;Menschen sich kritisch über die Regierung äußern können.;Bürger friedlich demonstrieren gehen dürfen.;Menschen von einer Privatpolizei ohne Grund verhaftet werden.;jemand ein Verbrechen begeht und deshalb verhaftet wird.;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
52;Was bedeutet „Volkssouveränität“? Alle Staatsgewalt geht vom ...;Volke aus.;Bundestag aus.;preußischen König aus.;Bundesverfassungsgericht aus.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
53;Was bedeutet „Rechtsstaat“ in Deutschland?;Der Staat hat Recht.;Es gibt nur rechte Parteien.;Die Bürger und Bürgerinnen entscheiden über Gesetze.;Der Staat muss die Gesetze einhalten.;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
54;Was ist keine staatliche Gewalt in Deutschland?;Legislative;Judikative;Exekutive;Direktive;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
55;Was zeigt dieses Bild?;den Bundestagssitz in Berlin;das Bundesverfassungsgericht in Karlsruhe;das Bundesratsgebäude in Berlin;das Bundeskanzleramt in Berlin;a;politik;Politik in der Demokratie;Verfassungsorgane;frage_55;image
56;Welches Amt gehört in Deutschland zur Gemeindeverwaltung?;Pfarramt;Ordnungsamt;Finanzamt;Auswärtiges Amt;b;politik;Politik in der Demokratie;Kommune;-;difficult
57;Wer wird meistens zum Präsidenten / zur Präsidentin des Deutschen Bundestages gewählt?;der / die älteste Abgeordnete im Parlament;der Ministerpräsident / die Ministerpräsidentin des größten Bundeslandes;ein Abgeordneter / eine Abgeordnete der stärksten Fraktion;ein ehemaliger Bundeskanzler / eine ehemalige Bundeskanzlerin;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
58;Wer ernennt in Deutschland die Minister / die Ministerinnen der Bundesregierung?;der Präsident / die Präsidentin des Bundesverfassungsgerichtes;der Bundespräsident / die Bundespräsidentin;der Bundesratspräsident / die Bundesratspräsidentin;der Bundestagspräsident / die Bundestagspräsidentin;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
59;Welche Parteien wurden in Deutschland 2007 zur Partei „Die Linke“?;CDU und SSW;PDS und WASG;CSU und FDP;Bündnis 90/Die Grünen und SPD;b;politik;Politik in der Demokratie;Parteien;-;date
60;In Deutschland gehören der Bundestag und der Bundesrat zur ...;Exekutive.;Legislative.;Direktive.;Judikative.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;difficult
61;Was bedeutet „Volkssouveränität“?;Der König / die Königin herrscht über das Volk.;Das Bundesverfassungsgericht steht über der Verfassung.;Die Interessenverbände üben die Souveränität zusammen mit der Regierung aus.;Die Staatsgewalt geht vom Volke aus.;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
62;Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das ...;Kommunalwahl.;Landtagswahl.;Europawahl.;Bundestagswahl.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult
63;Was gehört in Deutschland nicht zur Exekutive?;die Polizei;die Gerichte;das Finanzamt;die Ministerien;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
64;Die Bundesrepublik Deutschland ist heute gegliedert in ...;vier Besatzungszonen.;einen Oststaat und einen Weststaat.;16 Kantone.;Bund, Länder und Kommunen.;d;politik;Politik in der Demokratie;Föderalismus;-;
65;Es gehört nicht zu den Aufgaben des Deutschen Bundestages, ...;Gesetze zu entwerfen.;die Bundesregierung zu kontrollieren.;den Bundeskanzler / die Bundeskanzlerin zu wählen.;das Bundeskabinett zu bilden.;d;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
66;Wer schrieb den Text zur deutschen Nationalhymne?;Friedrich von Schiller;Clemens Brentano;Johann Wolfgang von Goethe;Heinrich Hoffmann von Fallersleben;d;politik;Politik in der Demokratie;Staatssymbole;-;
67;Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?;Verteidigungspolitik;Außenpolitik;Wirtschaftspolitik;Schulpolitik;d;politik;Politik in der Demokratie;Föderalismus;-;
68;Warum kontrolliert der Staat in Deutschland das Schulwesen?;weil es in Deutschland nur staatliche Schulen gibt;weil alle Schüler und Schülerinnen einen Schulabschluss haben müssen;weil es in den Bundesländern verschiedene Schulen gibt;weil es nach dem Grundgesetz seine Aufgabe ist;d;politik;Politik in der Demokratie;Aufgaben des Staates;-;
69;Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?;Stadträte;Landräte;Gemeinden;Bezirksämter;c;politik;Politik in der Demokratie;Kommune;-;
70;Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben des deutschen Bundespräsidenten / der deutschen Bundespräsidentin?;Er / Sie führt die Regierungsgeschäfte.;Er / Sie kontrolliert die Regierungspartei.;Er / Sie wählt die Minister / Ministerinnen aus.;Er / Sie schlägt den Kanzler / die Kanzlerin zur Wahl vor.;d;politik;Politik in der Demokratie;Verfassungsorgane;frage_70;image,date,person
71;Wo hält sich der deutsche Bundeskanzler / die deutsche Bundeskanzlerin am häufigsten auf? Am häufigsten ist er / sie ...;in Bonn, weil sich dort das Bundeskanzleramt und der Bundestag befinden.;in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.;auf Schloss Meseberg, dem Gästehaus der Bundesregieung, um Staatsgäste zu empfangen.;auf Schloss Bellevue, dem Amtssitz des Bundespräsidenten / der Bundespräsidentin, um Staatsgäste zu empfangen.;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
72;Wie heißt der jetzige Bundeskanzler / die jetzige Bundeskanzlerin von Deutschland?;Gerhard Schröder;Jürgen Rüttgers;Klaus Wowereit;Angela Merkel;d;politik;Politik in der Demokratie;Verfassungsorgane;-;person
73;Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit ...;CDU/CSU und SPD.;Die Linke und Bündnis 90/Die Grünen.;FDP und SPD.;Die Linke und FDP.;a;politik;Politik in der Demokratie;Parteien;-;
74;Wie heißt das Parlament für ganz Deutschland?;Bundesversammlung;Volkskammer;Bundestag;Bundesgerichtshof;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
75;Wie heißt Deutschlands heutiges Staatsoberhaupt?;Frank-Walter Steinmeier;Joachim Gauck;Norbert Lammert;Wolfgang Thierse;a;politik;Politik in der Demokratie;Verfassungsorgane;-;person
76;Was bedeutet die Abkürzung CDU in Deutschland?;Christliche Deutsche Union;Club Deutscher Unternehmer;Christlicher Deutscher Umweltschutz;Christlich Demokratische Union;d;politik;Politik in der Demokratie;Parteien;-;
77;Was ist die Bundeswehr?;die deutsche Polizei;ein deutscher Hafen;eine deutsche Bürgerinitiative;die deutsche Armee;d;politik;Politik in der Demokratie;Aufgaben des Staates;-;
78;Was bedeutet die Abkürzung SPD?;Sozialistische Partei Deutschlands;Sozialpolitische Partei Deutschlands;Sozialdemokratische Partei Deutschlands;Sozialgerechte Partei Deutschlands;c;politik;Politik in der Demokratie;Parteien;-;
79;Was bedeutet die Abkürzung FDP in Deutschland?;Friedliche Demonstrative Partei;Freie Deutschland Partei;Führende Demokratische Partei;Freie Demokratische Partei;d;politik;Politik in der Demokratie;Parteien;-;
80;Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?;Oberlandesgericht;Amtsgericht;Bundesverfassungsgericht;Verwaltungsgericht;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
81;Wer wählt den Bundeskanzler / die Bundeskanzlerin in Deutschland?;der Bundesrat;die Bundesversammlung;das Volk;der Bundestag;d;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
82;Wie nennt man den Regierungschef / die Regierungschefin der Bundesrepublik Deutschland?;Premierminister / Premierministerin;Bundespräsident / Bundespräsidentin;Bundeskanzler / Bundeskanzlerin;Ministerpräsident / Ministerpräsidentin;c;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
83;Wer wählt den deutschen Bundeskanzler / die deutsche Bundeskanzlerin?;das Volk;die Bundesversammlung;der Bundestag;die Bundesregierung;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
84;Welche Hauptaufgabe hat der deutsche Bundespräsident / die deutsche Bundespräsidentin? Er / Sie ...;regiert das Land.;entwirft die Gesetze.;repräsentiert das Land.;überwacht die Einhaltung der Gesetze.;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
85;Wer bildet den deutschen Bundesrat?;die Abgeordneten des Bundestages;die Minister und Ministerinnen der Bundesregierung;die Regierungsvertreter der Bundesländer;die Parteimitglieder;c;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
86;Wer wählt in Deutschland den Bundespräsidenten / die Bundespräsidentin?;die Bundesversammlung;der Bundesrat;das Bundesparlament;das Bundesverfassungsgericht;a;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
87;Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?;der Bundeskanzler / die Bundeskanzlerin;der Bundespräsident / die Bundespräsidentin;der Bundesratspräsident / die Bundesratspräsidentin;der Bundestagspräsident / die Bundestagspräsidentin;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
88;Die parlamentarische Opposition im Deutschen Bundestag ...;kontrolliert die Regierung.;entscheidet, wer Bundesminister / Bundesministerin wird.;bestimmt, wer im Bundesrat sitzt.;schlägt die Regierungschefs / Regierungschefinnen der Länder vor.;a;politik;Politik in der Demokratie;Verfassungsorgane;-;
89;Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?;Verband;Ältestenrat;Fraktion;Opposition;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
90;Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch ...;den Bundesrat.;die Bundesversammlung.;den Bundestag.;die Bundesregierung.;a;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
91;In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird ...;schwieriger, wenn sich dadurch die Mehrheit im Bundestag ändert.;leichter, wenn dadurch neue Parteien in den Bundesrat kommen.;schwieriger, wenn dadurch die Mehrheit im Bundesrat verändert wird.;leichter, wenn es sich um ein reiches Bundesland handelt.;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
92;Was bedeutet die Abkürzung CSU in Deutschland?;Christlich Sichere Union;Christlich Süddeutsche Union;Christlich Sozialer Unternehmerverband;Christlich Soziale Union;d;politik;Politik in der Demokratie;Parteien;-;
93;Je mehr „Zweitstimmen“ eine Partei bei einer Bundestagswahl bekommt, desto ...;mehr Sitze erhält die Partei im Parlament.;weniger Erststimmen kann sie haben.;mehr Direktkandidaten der Partei ziehen ins Parlament ein.;größer ist das Risiko, eine Koalition bilden zu müssen.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
94;Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?;16;18;21;23;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
95;Was gilt für die meisten Kinder in Deutschland?;Wahlpflicht;Schulpflicht;Schweigepflicht;Religionspflicht;b;politik;Politik in der Demokratie;Pflichten;-;
96;Was muss jeder deutsche Staatsbürger / jede deutsche Staatsbürgerin ab dem 16. Lebensjahr besitzen?;einen Reisepass;einen Personalausweis;einen Sozialversicherungsausweis;einen Führerschein;b;politik;Politik in der Demokratie;Pflichten;-;
97;Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?;Sozialversicherung;Sozialhilfe;Kindergeld;Wohngeld;a;politik;Politik in der Demokratie;Sozialsystem;-;
98;Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, ...;kann die Regierung ihre Mehrheit verlieren.;dürfen sie nicht mehr an den Sitzungen des Parlaments teilnehmen.;muss der Bundespräsident / die Bundespräsidentin zuvor sein / ihr Einverständnis geben.;dürfen die Wähler / Wählerinnen dieser Abgeordneten noch einmal wählen.;a;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
99;Wer bezahlt in Deutschland die Sozialversicherungen?;Arbeitgeber / Arbeitgeberinnen und Arbeitnehmer / Arbeitnehmerinnen;nur Arbeitnehmer / Arbeitnehmerinnen;alle Staatsangehörigen;nur Arbeitgeber / Arbeitgeberinnen;a;politik;Politik in der Demokratie;Sozialsystem;-;
100;Was gehört nicht zur gesetzlichen Sozialversicherung?;die gesetzliche Rentenversicherung;die Lebensversicherung;die Arbeitslosenversicherung;die Pflegeversicherung;b;politik;Politik in der Demokratie;Sozialsystem;-;
101;Gewerkschaften sind Interessenverbände der ...;Jugendlichen.;Arbeitnehmer und Arbeitnehmerinnen.;Rentner und Renterinnen.;Arbeitgeber und Arbeitgeberinnen.;b;politik;Politik in der Demokratie;Grundrechte;-;
102;Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem ...;Bundesadler;Bundesverdienstkreuz;Vaterländischen Verdienstorden;Ehrentitel „Held der Deutschen Demokratischen Republik“;b;politik;Politik in der Demokratie;Recht und Alltag;-;difficult
103;Was wird in Deutschland als „Ampelkoalition“ bezeichnet? Die Zusammenarbeit ...;der Bundestagsfraktionen von CDU und CSU;von SPD, FDP und Bündnis 90/Die Grünen in einer Regierung;von CSU, Die LINKE und Bündnis 90/Die Grünen in einer Regierung;der Bundestagsfraktionen von CDU und SPD;b;politik;Politik in der Demokratie;Parteien;-;
104;Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?;Die Frau ist lange krank und arbeitsunfähig.;Die Frau kam oft zu spät zur Arbeit.;Die Frau erledigt private Sachen während der Arbeitszeit.;Die Frau bekommt ein Kind und ihr Chef weiß das.;d;politik;Politik in der Demokratie;Recht und Alltag;-;
105;Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen in Deutschland?;Sie helfen alten Menschen bei der Stimmabgabe in der Wahlkabine.;Sie schreiben die Wahlbenachrichtigungen vor der Wahl.;Sie geben Zwischenergebnisse an die Medien weiter.;Sie zählen die Stimmen nach dem Ende der Wahl.;d;politik;Politik in der Demokratie;Pflichten;-;
106;In Deutschland helfen ehrenamtliche Wahlhelfer und Wahlhelferinnen bei den Wahlen. Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen?;Sie helfen Kindern und alten Menschen beim Wählen.;Sie schreiben Karten und Briefe mit der Angabe des Wahllokals.;Sie geben Zwischenergebnisse an Journalisten weiter.;Sie zählen die Stimmen nach dem Ende der Wahl.;d;politik;Politik in der Demokratie;Pflichten;-;
107;Für wie viele Jahre wird der Bundestag in Deutschland gewählt?;2 Jahre;4 Jahre;6 Jahre;8 Jahre;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
108;Bei einer Bundestagswahl in Deutschland darf jeder wählen, der ...;in der Bundesrepublik Deutschland wohnt und wählen möchte.;Bürger / Bürgerin der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist.;seit mindestens 3 Jahren in der Bundesrepublik Deutschland lebt.;Bürger / Bürgerin der Bundesrepublik Deutschland ist und mindestens 21 Jahre alt ist.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
109;Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?;alle drei Jahre;alle vier Jahre;alle fünf Jahre;alle sechs Jahre;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
110;Für wie viele Jahre wird der Bundestag in Deutschland gewählt?;2 Jahre;3 Jahre;4 Jahre;5 Jahre;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
